Nr,Driver in,Day time in,Time in,Driver out,Day time out,Time out,Nett Time,Reason,Lap In
333,Marzio Moretti,15:46:43.033,8:43.033,Maximilian Paul,15:54:13.765,16:13.765,7:30.732,,4
32,Charles Weerts,15:47:20.890,9:20.890,Kelvin van der Linde,15:51:43.696,13:43.696,4:22.806,,4
15,Felice Jelmini,15:47:32.464,9:32.464,Marcelo Jover Tomasoni,15:53:56.805,15:56.805,6:24.341,,3
33,Harry King,15:48:15.200,10:15.200,Chris Lulham,15:54:08.878,16:08.878,5:53.678,,5
65,David Schumacher,15:48:32.943,10:32.943,Finn Wiebelhaus,15:53:39.162,15:39.162,5:06.219,,5
88,Sebastian Øgaard,15:48:35.543,10:35.543,Leonardo Moncini,15:53:28.973,15:28.973,4:53.430,,5
59,Benjamin Goethe,15:50:37.288,12:37.288,Marvin Kirchhöfer,15:54:25.400,16:25.400,3:48.112,,5
58,Dean Macdonald,15:59:40.591,21:40.591,Adam Smalley,16:00:40.873,22:40.873,1:00.282,,8
7,Mattia Drudi,15:59:50.922,21:50.922,Nicki Thiim,16:01:06.978,23:06.978,1:16.056,,8
80,Gabriel Rindone,16:00:13.373,22:13.373,Patrick Kolb,16:05:09.991,27:09.991,4:56.618,,8
93,Eddie Cheever,16:00:49.718,22:49.718,Jonathan Hui,16:02:16.448,24:16.448,1:26.730,,8
64,Jann Mardenborough,16:00:51.631,22:51.631,Arjun Maini,16:02:07.879,24:07.879,1:16.248,,9
991,Ashley Sutton,16:01:14.959,23:14.959,Sean Gelael,16:03:51.764,25:51.764,2:36.805,,8
54,Jop Rappange,16:01:34.071,23:34.071,Federico Al Rifai,16:02:59.696,24:59.696,1:25.625,,9
48,Lucas Auer,16:02:02.369,24:02.369,Matteo Cairoli,16:03:52.573,25:52.573,1:50.204,,9
30,Etienne Cheli,16:02:12.280,24:12.280,Gustav Bergström,16:04:18.503,26:18.503,2:06.223,,10
50,Antonio Fuoco,16:02:13.574,24:13.574,Eliseo Donno,16:03:23.889,25:23.889,1:10.315,,10
21,Jamie Day,16:02:14.683,24:14.683,Kobe Pauwels,16:03:08.800,25:08.800,54.117,,9
52,Louis Machiels,16:02:21.037,24:21.037,Jef Machiels,16:04:22.287,26:22.287,2:01.250,,9
112,Maxime Robin,16:02:33.442,24:33.442,Edgar Maloigne,16:04:47.749,26:47.749,2:14.307,,10
74,Dennis Marschall,16:02:35.470,24:35.470,Conrad Laursen,16:05:01.117,27:01.117,2:25.647,,9
992,James Kellett,16:02:54.485,24:54.485,Charles Clark,16:04:16.358,26:16.358,1:21.873,,7
