Bib,Class,Driver1,Driver2,Driver3,Driver4,Car,Lap,Time,Sector1Time,SpeedTrap1,Sector2Time,SpeedTrap2,Sector3Time,SpeedTrap3,TopSpeed
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,1,3:56.285,2:37.647,246.0,37.338,252.0,41.300,231.0,203.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,2,1:52.724,34.518,249.0,36.883,253.0,41.323,234.0,269.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,3,1:49.986,34.129,249.0,36.423,254.0,39.434,233.0,270.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,4,3:08.994,34.004,249.0,58.505,79.0,1:36.485,,270.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,5,6:20.068,5:06.307,246.0,36.783,250.0,36.978,234.0,175.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,6,1:47.217,34.128,250.0,36.600,252.0,36.489,232.0,268.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,7,1:51.322,34.026,250.0,37.379,218.0,39.917,233.0,270.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,8,1:54.568,34.290,249.0,36.392,254.0,43.886,,272.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,9,3:22.091,2:07.991,250.0,37.021,254.0,37.079,231.0,205.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,10,1:49.652,34.297,250.0,36.809,254.0,38.546,233.0,269.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,11,1:47.615,34.179,250.0,36.618,254.0,36.818,233.0,269.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,12,1:47.420,34.340,250.0,36.533,252.0,36.547,232.0,270.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,13,1:47.174,34.064,252.0,36.545,255.0,36.565,233.0,268.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,14,1:50.324,34.126,251.0,36.745,254.0,39.453,233.0,269.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,15,3:42.218,1:57.575,193.0,48.752,139.0,55.891,,207.0
3,,Karol Basz,Anthony Bartone,Yannick Mettler,,Mercedes-AMG GT3 EVO,16,5:07.653,3:15.620,237.0,1:04.875,227.0,47.158,,205.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,1,3:12.637,1:56.209,244.0,37.981,249.0,38.447,231.0,202.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,2,1:48.473,34.802,247.0,36.826,252.0,36.845,232.0,268.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,3,1:47.916,34.408,247.0,36.657,255.0,36.851,233.0,269.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,4,1:56.528,34.536,247.0,36.503,254.0,45.489,,269.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,5,9:49.845,8:35.485,245.0,37.401,252.0,36.959,233.0,204.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,6,1:47.048,34.281,248.0,36.304,254.0,36.463,233.0,270.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,7,1:46.851,34.046,250.0,36.268,256.0,36.537,234.0,272.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,8,1:46.935,34.222,250.0,36.276,256.0,36.437,234.0,272.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,9,1:54.672,34.300,249.0,36.498,255.0,43.874,,273.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,10,4:39.211,3:22.547,249.0,39.333,228.0,37.331,234.0,206.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,11,1:46.814,34.055,249.0,36.299,255.0,36.460,235.0,271.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,12,1:53.251,34.043,250.0,40.367,224.0,38.841,234.0,272.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,13,1:46.609,34.049,251.0,36.292,255.0,36.268,235.0,273.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,14,1:46.463,33.937,251.0,36.184,255.0,36.342,235.0,273.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,15,1:47.730,33.983,252.0,37.160,225.0,36.587,236.0,272.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,16,1:46.401,33.975,252.0,36.083,256.0,36.343,236.0,274.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,17,1:47.048,33.896,251.0,36.276,256.0,36.876,236.0,273.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,18,1:56.338,34.316,252.0,36.389,257.0,45.633,,272.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,19,3:26.722,2:10.477,249.0,36.974,253.0,39.271,232.0,184.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,20,1:47.972,34.207,250.0,36.401,257.0,37.364,232.0,272.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,21,1:46.503,34.032,250.0,36.295,257.0,36.176,235.0,272.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,22,1:47.217,34.079,251.0,36.715,257.0,36.423,235.0,272.0
5,,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,23,3:55.377,58.323,79.0,1:21.477,78.0,1:35.577,,271.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,1,3:45.403,2:29.406,244.0,38.023,248.0,37.974,230.0,201.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,2,1:48.077,34.533,248.0,36.744,251.0,36.800,232.0,267.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,3,1:47.948,34.280,249.0,37.000,252.0,36.668,232.0,270.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,4,2:47.421,34.367,248.0,38.232,175.0,1:34.822,,268.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,5,6:56.866,5:40.164,247.0,37.007,252.0,39.695,233.0,203.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,6,1:47.802,34.386,248.0,36.681,252.0,36.735,233.0,268.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,7,1:47.596,34.441,249.0,36.389,254.0,36.766,232.0,267.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,8,1:47.289,34.217,249.0,36.330,253.0,36.742,232.0,269.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,9,1:47.899,34.373,249.0,36.631,254.0,36.895,233.0,269.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,10,3:02.538,1:48.655,248.0,37.052,253.0,36.831,233.0,205.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,11,1:47.300,34.098,248.0,36.559,253.0,36.643,234.0,268.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,12,1:46.559,34.024,250.0,36.153,254.0,36.382,234.0,269.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,13,1:49.805,34.010,250.0,36.445,255.0,39.350,233.0,271.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,14,1:47.353,34.104,250.0,36.549,253.0,36.700,232.0,268.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,15,1:47.450,33.977,250.0,36.878,253.0,36.595,233.0,270.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,16,1:48.147,34.148,250.0,36.325,255.0,37.674,233.0,269.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,17,1:47.686,34.184,250.0,36.517,248.0,36.985,233.0,270.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,18,1:47.269,34.339,250.0,36.430,254.0,36.500,233.0,270.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,19,1:46.278,34.016,249.0,36.078,255.0,36.184,234.0,270.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,20,1:55.057,34.146,250.0,36.787,255.0,44.124,,271.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,21,4:20.111,3:06.206,249.0,37.068,253.0,36.837,234.0,205.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,22,1:46.520,34.008,249.0,36.362,254.0,36.150,235.0,271.0
6,,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,23,3:19.110,33.890,250.0,1:10.760,79.0,1:34.460,,271.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,1,2:47.946,1:28.843,238.0,40.433,244.0,38.670,233.0,181.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,2,1:48.571,34.321,248.0,36.483,253.0,37.767,234.0,268.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,3,1:46.826,33.925,249.0,36.455,253.0,36.446,234.0,270.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,4,1:46.494,34.010,249.0,36.227,254.0,36.257,234.0,269.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,5,3:49.318,54.041,79.0,1:20.828,79.0,1:34.449,,271.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,6,6:16.145,5:01.850,239.0,37.379,252.0,36.916,234.0,160.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,7,1:47.441,34.226,246.0,36.544,249.0,36.671,235.0,252.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,8,1:54.361,34.170,239.0,36.632,255.0,43.559,,252.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,9,2:59.424,1:45.821,248.0,36.459,255.0,37.144,233.0,208.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,10,1:46.823,34.127,249.0,36.394,255.0,36.302,236.0,271.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,11,1:46.709,33.954,249.0,36.296,256.0,36.459,235.0,272.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,12,1:47.956,34.421,250.0,36.505,255.0,37.030,237.0,270.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,13,1:46.335,33.897,250.0,36.239,254.0,36.199,236.0,272.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,14,1:46.463,33.981,250.0,36.225,255.0,36.257,234.0,269.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,15,1:53.650,34.056,250.0,36.568,254.0,43.026,,270.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,16,3:02.671,1:49.513,249.0,36.650,255.0,36.508,234.0,184.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,17,1:47.018,33.863,251.0,36.226,257.0,36.929,234.0,272.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,18,1:46.394,33.903,252.0,36.233,255.0,36.258,234.0,272.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,19,1:49.603,33.976,252.0,36.360,239.0,39.267,236.0,270.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,20,1:46.455,33.906,250.0,36.278,255.0,36.271,237.0,272.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,21,1:48.506,35.250,252.0,36.445,254.0,36.811,237.0,269.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,22,1:46.563,33.866,252.0,36.310,257.0,36.387,236.0,273.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,23,1:47.381,33.880,252.0,36.277,256.0,37.224,236.0,274.0
7,,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,24,3:04.661,33.854,252.0,56.063,79.0,1:34.744,,274.0
8,,Nicoló Rosi,Niccoló Schiro',David Fumanelli,,Ferrari 296 GT3,1,3:38.952,2:21.747,237.0,38.252,248.0,38.953,229.0,198.0
8,,Nicoló Rosi,Niccoló Schiro',David Fumanelli,,Ferrari 296 GT3,2,1:50.242,34.797,245.0,37.673,249.0,37.772,227.0,265.0
