Rank,Bib,ClassName,Driver1,Driver2,Driver3,Driver4,CarName,TeamName,LicenceHolderName,TotalTime,LapCount,GapTime,GapLap,BestLapAverageSpeed,BestLapTime,BestLapLapNumber,State
1,17,Pro Cup,Luca Stolz,Jules Gounon,Fabian Schiller,,Mercedes-AMG GT3 EVO,Mercedes-AMG Team GetSpeed,GetSpeed,56:13.525,,,,196.7,1:46.003,11,
2,9,Pro Cup,Mikael Grenier,Maxime Martin,Maximilian Götz,,Mercedes-AMG GT3 EVO,Boutsen VDS,Boutsen VDS,57:33.837,,0.044,,196.6,1:46.047,6,
3,63,Pro Cup,Mirko Bortolotti,Luca Engstler,Jordan Pepper,,Lamborghini Huracan GT3 EVO 2,GRT - Grasser Racing Team,GRT - Grasser Racing Team,57:06.452,,0.126,,196.5,1:46.129,15,
4,48,Pro Cup,Lucas Auer,Matteo Cairoli,Maro Engel,,Mercedes-AMG GT3 EVO,Mercedes-AMG Team MANN-FILTER,Winward Racing,55:57.499,,0.126,,196.5,1:46.129,18,
5,163,Pro Cup,Sandy Mitchell,Mattia Michelotto,Franck Perera,,Lamborghini Huracan GT3 EVO 2,VSR,VSR,56:22.780,,0.2,,196.3,1:46.203,20,
6,6,Silver Cup,Tanart Sathienthirakul,Aaron Walker,Colin Caresani,,Mercedes-AMG GT3 EVO,GetSpeed,GetSpeed,56:41.989,,0.275,,196.2,1:46.278,19,
7,59,Pro Cup,Joseph Loake,Marvin Kirchhöfer,Benjamin Goethe,,McLaren 720S GT3 EVO,Garage 59,Garage 59 Group,57:53.733,,0.278,,196.2,1:46.281,10,
8,7,Pro Cup,Mattia Drudi,Nicki Thiim,Marco Sorensen,,Aston Martin Vantage AMR GT3 EVO,Comtoyou Racing,Comtoyou Racing,56:10.358,,0.332,,196.1,1:46.335,13,
9,99,Silver Cup,Ezequiel Perez Companc,Alberto Di Folco,Alex Aka,,Audi R8 LMS GT3 EVO II,Tresor Attempto Racing,Tresor Attempto Racing,52:29.580,,0.353,,196.0,1:46.356,13,
10,33,Gold Cup,Harry King,Chris Lulham,Thierry Vermeulen,,Aston Martin Vantage AMR GT3 EVO,Verstappen.com Racing,2 Seas Motorsport,54:08.542,,0.366,,196.0,1:46.369,16,
11,188,Bronze Cup,Guilherme Oliveira,Miguel Ramos,Thomas Fleming,,McLaren 720S GT3 EVO,Garage 59,Garage 59 Group,52:34.352,,0.382,,196.0,1:46.385,21,
12,66,Bronze Cup,Andrey Mukovoz,Max Hofer,Aleksei Nesov,,Audi R8 LMS GT3 EVO II,Tresor Attempto Racing,Tresor Attempto Racing,55:50.724,,0.39,,196.0,1:46.393,17,
13,5,Gold Cup,James Allen,Largim Ali,Michael Porter,,McLaren 720S GT3 EVO,Optimum Motorsport,Optimum Motorsport,57:44.561,,0.398,,196.0,1:46.401,16,
14,32,Pro Cup,Kelvin van der Linde,Charles Weerts,Ugo De Wilde,,BMW M4 GT3 EVO,Team WRT,Team WRT,58:03.034,,0.409,,195.9,1:46.412,8,
15,911,Pro Cup,Richard Lietz,Aliaksandr Malykhin,Thomas Preining,,Porsche 911 GT3 R (992),Pure Rxcing,Pure Rxcing,56:33.736,,0.454,,195.8,1:46.457,13,
16,8,Bronze Cup,Nicoló Rosi,Niccoló Schiro',David Fumanelli,,Ferrari 296 GT3,Kessel Racing,Kessel Racing,54:41.396,,0.52,,195.7,1:46.523,20,
17,88,Gold Cup,Sebastian Øgaard,Leonardo Moncini,Riccardo Cazzaniga,,Audi R8 LMS GT3 EVO II,Tresor Attempto Racing,Tresor Attempto Racing,57:48.811,,0.53,,195.7,1:46.533,20,
18,60,Silver Cup,Michele Beretta,Alessio Deledda,Andrea Frassineti,,Lamborghini Huracan GT3 EVO 2,VSR,VSR,54:14.765,,0.532,,195.7,1:46.535,13,
